time: 0.0000 , HR: 0.00 
time: 0.0333 , HR: 0.00 
time: 0.0667 , HR: 0.00 
time: 0.1000 , HR: 0.00 
time: 0.1333 , HR: 0.00 
time: 0.1667 , HR: 0.00 
time: 0.2000 , HR: 0.00 
time: 0.2334 , HR: 0.00 
time: 0.2667 , HR: 0.00 
time: 0.3000 , HR: 0.00 
time: 0.3334 , HR: 0.00 
time: 0.3667 , HR: 0.00 
time: 0.4000 , HR: 0.00 
time: 0.4334 , HR: 0.00 
time: 0.4667 , HR: 0.00 
time: 0.5000 , HR: 0.00 
time: 0.5334 , HR: 0.00 
time: 0.5667 , HR: 0.00 
time: 0.6001 , HR: 0.00 
time: 0.6334 , HR: 0.00 
time: 0.6667 , HR: 0.00 
time: 0.7001 , HR: 0.00 
time: 0.7334 , HR: 0.00 
time: 0.7667 , HR: 0.00 
time: 0.8001 , HR: 0.00 
time: 0.8334 , HR: 0.00 
time: 0.8668 , HR: 0.00 
time: 0.9001 , HR: 0.00 
time: 0.9334 , HR: 0.00 
time: 0.9668 , HR: 0.00 
time: 1.0001 , HR: 59.99 
time: 1.0334 , HR: 58.06 
time: 1.0668 , HR: 56.24 
time: 1.1001 , HR: 54.54 
time: 1.1334 , HR: 52.94 
time: 1.1668 , HR: 51.42 
time: 1.2001 , HR: 99.99 
time: 1.2335 , HR: 97.29 
time: 1.2668 , HR: 94.73 
time: 1.3001 , HR: 92.30 
time: 1.3335 , HR: 89.99 
time: 1.3668 , HR: 87.80 
time: 1.4001 , HR: 85.71 
time: 1.4335 , HR: 83.71 
time: 1.4668 , HR: 81.81 
time: 1.5001 , HR: 79.99 
time: 1.5335 , HR: 78.25 
time: 1.5668 , HR: 76.59 
time: 1.6002 , HR: 74.99 
time: 1.6335 , HR: 73.46 
time: 1.6668 , HR: 71.99 
time: 1.7002 , HR: 70.58 
time: 1.7335 , HR: 103.84 
time: 1.7668 , HR: 101.88 
time: 1.8002 , HR: 99.99 
time: 1.8335 , HR: 98.17 
time: 1.8668 , HR: 96.42 
time: 1.9002 , HR: 94.73 
time: 1.9335 , HR: 93.09 
time: 1.9669 , HR: 91.52 
time: 2.0002 , HR: 89.99 
time: 2.0335 , HR: 88.52 
time: 2.0669 , HR: 87.09 
time: 2.1002 , HR: 85.71 
time: 2.1335 , HR: 84.37 
time: 2.1669 , HR: 83.07 
time: 2.2002 , HR: 81.81 
time: 2.2336 , HR: 80.59 
time: 2.2669 , HR: 79.40 
time: 2.3002 , HR: 78.25 
time: 2.3336 , HR: 77.14 
time: 2.3669 , HR: 76.05 
time: 2.4002 , HR: 74.99 
time: 2.4336 , HR: 73.97 
time: 2.4669 , HR: 72.97 
time: 2.5002 , HR: 71.99 
time: 2.5336 , HR: 71.05 
time: 2.5669 , HR: 70.12 
time: 2.6003 , HR: 69.22 
time: 2.6336 , HR: 68.35 
time: 2.6669 , HR: 67.49 
time: 2.7003 , HR: 88.88 
time: 2.7336 , HR: 109.75 
time: 2.7669 , HR: 108.42 
time: 2.8003 , HR: 107.13 
time: 2.8336 , HR: 105.87 
time: 2.8669 , HR: 104.64 
time: 2.9003 , HR: 103.44 
time: 2.9336 , HR: 102.26 
time: 2.9670 , HR: 101.11 
time: 3.0003 , HR: 79.99 
time: 3.0336 , HR: 79.11 
time: 3.0670 , HR: 78.25 
time: 3.1003 , HR: 77.41 
time: 3.1336 , HR: 76.59 
time: 3.1670 , HR: 75.78 
time: 3.2003 , HR: 74.99 
time: 3.2336 , HR: 74.22 
time: 3.2670 , HR: 73.46 
time: 3.3003 , HR: 72.72 
time: 3.3337 , HR: 72.72 
time: 3.3670 , HR: 72.72 
time: 3.4003 , HR: 109.08 
time: 3.4337 , HR: 109.08 
time: 3.4670 , HR: 109.08 
time: 3.5003 , HR: 109.08 
time: 3.5337 , HR: 109.08 
time: 3.5670 , HR: 109.08 
time: 3.6004 , HR: 72.72 
time: 3.6337 , HR: 72.72 
time: 3.6670 , HR: 72.72 
time: 3.7004 , HR: 72.72 
time: 3.7337 , HR: 72.72 
time: 3.7670 , HR: 72.72 
time: 3.8004 , HR: 72.72 
time: 3.8337 , HR: 72.72 
time: 3.8670 , HR: 72.72 
time: 3.9004 , HR: 72.72 
time: 3.9337 , HR: 72.72 
time: 3.9671 , HR: 109.08 
time: 4.0004 , HR: 109.08 
time: 4.0337 , HR: 109.08 
time: 4.0671 , HR: 54.54 
time: 4.1004 , HR: 54.54 
time: 4.1337 , HR: 54.54 
time: 4.1671 , HR: 54.54 
time: 4.2004 , HR: 54.54 
time: 4.2337 , HR: 54.54 
time: 4.2671 , HR: 54.54 
time: 4.3004 , HR: 54.54 
time: 4.3338 , HR: 54.54 
time: 4.3671 , HR: 109.08 
time: 4.4004 , HR: 109.08 
time: 4.4338 , HR: 109.08 
time: 4.4671 , HR: 72.72 
time: 4.5004 , HR: 72.72 
time: 4.5338 , HR: 72.72 
time: 4.5671 , HR: 72.72 
time: 4.6005 , HR: 72.72 
time: 4.6338 , HR: 72.72 
time: 4.6671 , HR: 72.72 
time: 4.7005 , HR: 109.08 
time: 4.7338 , HR: 109.08 
time: 4.7671 , HR: 54.54 
time: 4.8005 , HR: 54.54 
time: 4.8338 , HR: 54.54 
time: 4.8671 , HR: 54.54 
time: 4.9005 , HR: 54.54 
time: 4.9338 , HR: 54.54 
time: 4.9672 , HR: 54.54 
time: 5.0005 , HR: 72.72 
time: 5.0338 , HR: 72.72 
time: 5.0672 , HR: 72.72 
time: 5.1005 , HR: 72.72 
time: 5.1338 , HR: 72.72 
time: 5.1672 , HR: 72.72 
time: 5.2005 , HR: 72.72 
time: 5.2338 , HR: 72.72 
time: 5.2672 , HR: 72.72 
time: 5.3005 , HR: 72.72 
time: 5.3339 , HR: 72.72 
time: 5.3672 , HR: 72.72 
time: 5.4005 , HR: 72.72 
time: 5.4339 , HR: 72.72 
time: 5.4672 , HR: 72.72 
time: 5.5005 , HR: 54.54 
time: 5.5339 , HR: 54.54 
time: 5.5672 , HR: 54.54 
time: 5.6005 , HR: 54.54 
time: 5.6339 , HR: 54.54 
time: 5.6672 , HR: 54.54 
time: 5.7006 , HR: 54.54 
time: 5.7339 , HR: 54.54 
time: 5.7672 , HR: 54.54 
time: 5.8006 , HR: 54.54 
time: 5.8339 , HR: 54.54 
time: 5.8672 , HR: 72.72 
time: 5.9006 , HR: 72.72 
time: 5.9339 , HR: 72.72 
time: 5.9673 , HR: 72.72 
time: 6.0006 , HR: 72.72 
time: 6.0339 , HR: 72.72 
time: 6.0673 , HR: 72.72 
time: 6.1006 , HR: 72.72 
time: 6.1339 , HR: 72.72 
time: 6.1673 , HR: 72.72 
time: 6.2006 , HR: 72.72 
time: 6.2339 , HR: 54.54 
time: 6.2673 , HR: 54.54 
time: 6.3006 , HR: 54.54 
time: 6.3340 , HR: 54.54 
time: 6.3673 , HR: 54.54 
time: 6.4006 , HR: 54.54 
time: 6.4340 , HR: 54.54 
time: 6.4673 , HR: 72.72 
time: 6.5006 , HR: 72.72 
time: 6.5340 , HR: 72.72 
time: 6.5673 , HR: 72.72 
time: 6.6006 , HR: 72.72 
time: 6.6340 , HR: 72.72 
time: 6.6673 , HR: 72.72 
time: 6.7007 , HR: 72.72 
time: 6.7340 , HR: 72.72 
time: 6.7673 , HR: 72.72 
time: 6.8007 , HR: 72.72 
time: 6.8340 , HR: 72.72 
time: 6.8673 , HR: 54.54 
time: 6.9007 , HR: 54.54 
time: 6.9340 , HR: 54.54 
time: 6.9673 , HR: 54.54 
time: 7.0007 , HR: 54.54 
time: 7.0340 , HR: 54.54 
time: 7.0674 , HR: 54.54 
time: 7.1007 , HR: 54.54 
time: 7.1340 , HR: 54.54 
time: 7.1674 , HR: 54.54 
time: 7.2007 , HR: 54.54 
time: 7.2340 , HR: 54.54 
time: 7.2674 , HR: 54.54 
time: 7.3007 , HR: 54.54 
time: 7.3341 , HR: 54.54 
time: 7.3674 , HR: 54.54 
time: 7.4007 , HR: 54.54 
time: 7.4341 , HR: 54.54 
time: 7.4674 , HR: 54.54 
time: 7.5007 , HR: 72.72 
time: 7.5341 , HR: 72.72 
time: 7.5674 , HR: 72.72 
time: 7.6007 , HR: 72.72 
time: 7.6341 , HR: 72.72 
time: 7.6674 , HR: 72.72 
time: 7.7008 , HR: 72.72 
time: 7.7341 , HR: 72.72 
time: 7.7674 , HR: 72.72 
time: 7.8008 , HR: 72.72 
time: 7.8341 , HR: 72.72 
time: 7.8674 , HR: 72.72 
time: 7.9008 , HR: 72.72 
time: 7.9341 , HR: 72.72 
time: 7.9674 , HR: 72.72 
time: 8.0008 , HR: 72.72 
time: 8.0341 , HR: 72.72 
time: 8.0675 , HR: 72.72 
time: 8.1008 , HR: 127.26 
time: 8.1341 , HR: 127.26 
time: 8.1675 , HR: 127.26 
time: 8.2008 , HR: 127.26 
time: 8.2341 , HR: 127.26 
time: 8.2675 , HR: 127.26 
time: 8.3008 , HR: 127.26 
time: 8.3341 , HR: 127.26 
time: 8.3675 , HR: 127.26 
time: 8.4008 , HR: 127.26 
time: 8.4342 , HR: 127.26 
time: 8.4675 , HR: 127.26 
time: 8.5008 , HR: 127.26 
time: 8.5342 , HR: 127.26 
time: 8.5675 , HR: 127.26 
time: 8.6008 , HR: 54.54 
time: 8.6342 , HR: 54.54 
time: 8.6675 , HR: 54.54 
time: 8.7009 , HR: 54.54 
time: 8.7342 , HR: 127.26 
time: 8.7675 , HR: 145.44 
time: 8.8009 , HR: 145.44 
time: 8.8342 , HR: 145.44 
time: 8.8675 , HR: 145.44 
time: 8.9009 , HR: 145.44 
time: 8.9342 , HR: 145.44 
time: 8.9675 , HR: 72.72 
time: 9.0009 , HR: 72.72 
time: 9.0342 , HR: 72.72 
time: 9.0676 , HR: 72.72 
time: 9.1009 , HR: 127.26 
time: 9.1342 , HR: 127.26 
time: 9.1676 , HR: 127.26 
time: 9.2009 , HR: 127.26 
time: 9.2342 , HR: 54.54 
time: 9.2676 , HR: 127.26 
time: 9.3009 , HR: 127.26 
time: 9.3342 , HR: 127.26 
time: 9.3676 , HR: 127.26 
time: 9.4009 , HR: 127.26 
time: 9.4343 , HR: 127.26 
time: 9.4676 , HR: 127.26 
time: 9.5009 , HR: 145.44 
time: 9.5343 , HR: 127.26 
time: 9.5676 , HR: 145.44 
time: 9.6009 , HR: 145.44 
time: 9.6343 , HR: 127.26 
time: 9.6676 , HR: 72.72 
time: 9.7009 , HR: 72.72 
time: 9.7343 , HR: 72.72 
time: 9.7676 , HR: 72.72 
time: 9.8010 , HR: 145.44 
time: 9.8343 , HR: 145.44 
time: 9.8676 , HR: 72.72 
time: 9.9010 , HR: 72.72 
time: 9.9343 , HR: 72.72 
time: 9.9676 , HR: 72.72 
time: 10.0010 , HR: 72.72 
time: 10.0343 , HR: 127.26 
time: 10.0677 , HR: 127.26 
time: 10.1010 , HR: 72.72 
time: 10.1343 , HR: 127.26 
time: 10.1677 , HR: 145.44 
time: 10.2010 , HR: 54.54 
time: 10.2343 , HR: 54.54 
time: 10.2677 , HR: 54.54 
time: 10.3010 , HR: 54.54 
time: 10.3343 , HR: 54.54 
time: 10.3677 , HR: 54.54 
time: 10.4010 , HR: 54.54 
time: 10.4344 , HR: 54.54 
time: 10.4677 , HR: 54.54 
time: 10.5010 , HR: 54.54 
time: 10.5344 , HR: 54.54 
time: 10.5677 , HR: 54.54 
time: 10.6010 , HR: 72.72 
time: 10.6344 , HR: 72.72 
time: 10.6677 , HR: 72.72 
time: 10.7010 , HR: 72.72 
time: 10.7344 , HR: 72.72 
time: 10.7677 , HR: 72.72 
time: 10.8011 , HR: 72.72 
time: 10.8344 , HR: 72.72 
